---,ARKitName,MorphTargetName,Scale
Row_01,eyeBlinkLeft,Fcl_EYE_Close_L,1.5
Row_02,eyeBlinkRight,Fcl_EYE_Close_R,1.5
Row_03,browDownLeft,Fcl_BRW_Sorrow,0.5
Row_04,browDownRight,Fcl_BRW_Sorrow,0.5
Row_05,browInnerUp,Fcl_BRW_Surprised,0.7
Row_06,browOuterUpLeft,Fcl_BRW_Surprised,0.5
Row_07,browOuterUpRight,Fcl_BRW_Surprised,0.5
Row_08,eyeWideLeft,Fcl_EYE_Surprised,0.5
Row_09,eyeWideRight,Fcl_EYE_Surprised,0.5
Row_10,jawOpen,Fcl_MTH_A,2.0
Row_11,mouthSmileLeft,Fcl_EYE_Joy_L,0.3
Row_12,mouthSmileRight,Fcl_EYE_Joy_R,0.3
Row_13,mouthFunnel,Fcl_MTH_U,0.5
Row_14,mouthPucker,Fcl_MTH_O,0.0
Row_15,mouthFrownLeft,Fcl_MTH_Sorrow,0.0
Row_16,mouthFrownRight,Fcl_MTH_Sorrow,0.0
Row_17,mouthClose,Fcl_MTH_Close,1.0
Row_18,mouthUpperUpLeft,Fcl_MTH_Up,0.5
Row_19,mouthUpperUpRight,Fcl_MTH_Up,0.5
Row_20,eyeSquintLeft,Fcl_EYE_Joy_L,0.7
Row_21,eyeSquintRight,Fcl_EYE_Joy_R,0.7
